"","name","adh","nb_ceps_compte","nb_grappes_total","nb_grappes_m2","poids_grappe_moyen_1","taux_sucre_moyen_1","poids_grappe_moyen_2","taux_sucre_moyen_2","annee"
"1","HAIE DU PRE","ADH1",30,NA,"13",135,NA,135,NA,2018
"2","HAIE DU PRE","ADH1",30,NA,"11.7",135,NA,135,NA,2018
"3","MALADRERIE (jeune vigne)","ADH1",30,NA,"15.5",135,NA,135,NA,2018
"4","NOUES","ADH1",30,NA,"12.4",135,NA,135,NA,2018
"5","CROTELETS","ADH1",30,NA,"15.9",135,NA,135,NA,2018
"6","COUTURES","ADH1",30,NA,"12",135,NA,135,NA,2018
"7","MALADRERIE (vieille vigne)","ADH1",30,NA,"14.5",135,NA,135,NA,2018
"8","NOUES","ADH1",30,NA,"12",135,NA,135,NA,2018
"9","BEAUNES","ADH1",30,NA,"8.8",135,NA,135,NA,2018
"10","BEAUNES","ADH1",30,NA,"12.5",135,NA,135,NA,2018
"11","CHAMP LUDET","ADH1",30,NA,"12.6",135,NA,135,NA,2018
"12","MOULINS","ADH1",30,NA,"8.6",135,NA,135,NA,2018
"13","PECHERINES (jeune partie)","ADH1",30,NA,"15.4",135,NA,135,NA,2018
"14","PECHERINES (vieille partie)","ADH1",30,NA,"15.75",135,NA,135,NA,2018
"15","LES HOUSSETS","ADH1",30,NA,"9.15",135,NA,135,NA,2018
"16","HAIE DU PRE","ADH1",30,NA,"12",135,NA,135,NA,2018
"17","CARRIERES","ADH1",30,NA,"10.8",135,NA,135,NA,2018
"18","CARRIERES","ADH1",30,NA,"11.3",135,NA,135,NA,2018
"19","CROTELETS","ADH1",30,NA,"11",135,NA,135,NA,2018
"20","NOUES","ADH1",30,NA,"12.4",135,NA,135,NA,2018
"21","LES AMI LES CHAMPS","ADH2",30,NA,"12.69",135,NA,135,NA,2018
"22","LES PRUCHES D'EN HAUT","ADH2",30,NA,"14.45",135,NA,135,NA,2018
"23","LES AGNEAUX","ADH2",30,NA,"16.69",135,NA,135,NA,2018
"24","LES NOUES","ADH2",30,NA,"14.67",135,NA,135,NA,2018
"25","LES CHAMPS GOULATS","ADH2",30,NA,"13.39",135,NA,135,NA,2018
"26","LES CARISETS D'EN HAUT","ADH2",30,NA,"14.08",135,NA,135,NA,2018
"27","LES POITRINIERES","ADH2",30,NA,"16.91",135,NA,135,NA,2018
"28","LES MONTINS","ADH2",30,NA,"8.64",135,NA,135,NA,2018
"29","DESSUS LA VILLE","ADH2",30,NA,"9.28",135,NA,135,NA,2018
"30","LES PRUCHES D'EN HAUT","ADH2",30,NA,"14.35",135,NA,135,NA,2018
"31","LES GRANDES CRIERES","ADH2",30,NA,"14.13",135,NA,135,NA,2018
"32","LE HAUT BELAI","ADH2",30,NA,"18.08",135,NA,135,NA,2018
"33","LES HAIES DU PRE","ADH2",30,NA,"15.25",135,NA,135,NA,2018
"34","LES RUELLES","ADH2",30,NA,"14.13",135,NA,135,NA,2018
"35","LE CHAMP RICHARD","ADH2",30,NA,"10.67",135,NA,135,NA,2018
"36","LE HAUT BELAI","ADH2",30,NA,"14.4",135,NA,135,NA,2018
"37","LES CHAMPS BAYARD","ADH2",30,NA,"16.48",135,NA,135,NA,2018
"38","LA MALADRERIE","ADH3",30,NA,"19.79",135,NA,135,NA,2018
"39","LES PISSOTTES","ADH3",30,NA,"10.35",135,NA,135,NA,2018
"40","Les Amis les Champs","ADH3",30,NA,"6.6",135,NA,135,NA,2018
"41","La Maladrerie (Matu)","ADH3",30,NA,"9.9",135,NA,135,NA,2018
"42","Les Pruches d'en Haut","ADH3",30,NA,"7.9",135,NA,135,NA,2018
"43","Les Sabinettes","ADH3",30,NA,"8.6",135,NA,135,NA,2018
"44","La Grande Crière","ADH3",30,NA,"8",135,NA,135,NA,2018
"45","Les Noues","ADH3",30,NA,"7.8",135,NA,135,NA,2018
"46","La Maladrerie ","ADH3",30,NA,"6.6",135,NA,135,NA,2018
"47","Les Bassignons","ADH3",30,NA,"11",135,NA,135,NA,2018
"48","Les Sabinettes","ADH3",30,NA,"9.9",135,NA,135,NA,2018
"49","Les Beaunes  (Matu)","ADH3",30,NA,"10.2",135,NA,135,NA,2018
"50","Les Noues","ADH3",30,NA,"11.8",135,NA,135,NA,2018
"51","LES SENTIERS","ADH3",30,NA,"11.8",135,NA,135,NA,2018
"52","LES SENTIERS","ADH4",30,NA,"13.8",135,NA,135,NA,2018
