"","farm","name","area","type","date_planting","dist_inter_rang","dist_inter_plant","lat","lon"
"1",1,"HAIE DU PRE",0.0897,1,NA,1,1.15,49.156744,4.062434
"2",1,"HAIE DU PRE",0.1484,1,NA,1,1.15,49.156744,4.062434
"3",1,"MALADRERIE (jeune vigne)",0.1734,1,NA,1,1.15,49.156744,4.062434
"4",1,"NOUES",0.1,1,NA,1,1.15,49.156744,4.062434
"5",1,"CROTELETS",0.0339,1,NA,1,1.15,49.156744,4.062434
"6",1,"COUTURES",0.1625,1,NA,1,1.15,49.156744,4.062434
"7",1,"MALADRERIE (vieille vigne)",0.168,1,NA,1,1.15,49.156744,4.062434
"8",1,"NOUES",0.2586,1,NA,1,1.15,49.156744,4.062434
"9",1,"BEAUNES",0.169,1,NA,1,1.15,49.153973,4.079386
"10",1,"BEAUNES",0.3078,1,NA,1,1.15,49.153973,4.079386
"11",1,"CHAMP LUDET",0.149,1,NA,1,1.15,49.164237,4.048227
"12",1,"MOULINS",0.1594,1,NA,1,1.15,49.153973,4.079386
"13",1,"PECHERINES (jeune partie)",0.07,2,NA,1,1.15,49.156744,4.062434
"14",1,"PECHERINES (vieille partie)",0.2425,2,NA,1,1.15,49.156744,4.062434
"15",1,"LES HOUSSETS",0.2136,1,NA,1,1.15,49.156744,4.062434
"16",1,"HAIE DU PRE",0.09,3,NA,1,1.15,49.156744,4.062434
"17",1,"CARRIERES",0.2071,3,NA,1,1.15,49.156744,4.062434
"18",1,"CARRIERES",0.2228,3,NA,1,1.15,49.156744,4.062434
"19",1,"CROTELETS",0.2365,3,NA,1,1.15,49.156744,4.062434
"20",1,"NOUES",0.101,3,NA,1,1.15,49.156744,4.062434
"21",2,"LES AMI LES CHAMPS",0.1658,1,NA,1,1.15,49.156744,4.062434
"22",2,"LES PRUCHES D'EN HAUT",0.1251,1,NA,1,1.15,49.156744,4.062434
"23",2,"LES AGNEAUX",0.2697,1,NA,1,1.15,49.156744,4.062434
"24",2,"LES NOUES",0.22,1,NA,1,1.15,49.156744,4.062434
"25",2,"LES CHAMPS GOULATS",0.14,1,NA,1,1.15,49.156744,4.062434
"26",2,"LES CARISETS D'EN HAUT",0.1549,1,NA,1,1.15,49.156744,4.062434
"27",2,"LES POITRINIERES",0.0575,1,NA,1,1.15,49.156744,4.062434
"28",2,"LES MONTINS",0.0472,1,NA,1,1.15,49.156744,4.062434
"29",2,"DESSUS LA VILLE",0.7423,1,NA,1,1.15,49.156744,4.062434
"30",2,"LES PRUCHES D'EN HAUT",0.049,2,NA,1,1.15,49.156744,4.062434
"31",2,"LES GRANDES CRIERES",0.0767,2,NA,1,1.15,49.156744,4.062434
"32",2,"LE HAUT BELAI",0.2154,2,NA,1,1.15,49.156744,4.062434
"33",2,"LES HAIES DU PRE",0.024,2,NA,1,1.15,49.156744,4.062434
"34",2,"LES RUELLES",0.201,2,NA,1,1.15,49.156744,4.062434
"35",2,"LE CHAMP RICHARD",0.0467,2,NA,1,1.15,49.156744,4.062434
"36",2,"LE HAUT BELAI",0.2164,3,NA,1,1.15,49.156744,4.062434
"37",2,"LES CHAMPS BAYARD",0.0467,3,NA,1,1.15,49.156744,4.062434
"38",3,"LA MALADRERIE",0.1307,3,NA,1,1.15,49.156744,4.062434
"39",3,"LES PISSOTTES",0.1755,3,NA,1,1.15,49.156744,4.062434
"40",3,"Les Amis les Champs",0.084,1,NA,1,1.15,49.156744,4.062434
"41",3,"La Maladrerie (Matu)",0.2103,1,NA,1,1.15,49.156744,4.062434
"42",3,"Les Pruches d'en Haut",0.1232,1,NA,1,1.15,49.156744,4.062434
"43",3,"Les Sabinettes",0.119,1,NA,1,1.15,49.156744,4.062434
"44",3,"La Grande Crière",0.0587,1,NA,1,1.15,49.156744,4.062434
"45",3,"Les Noues",0.073,1,NA,1,1.15,49.156744,4.062434
"46",3,"La Maladrerie ",0.1917,1,NA,1,1.15,49.156744,4.062434
"47",3,"Les Bassignons",0.1032,2,NA,1,1.15,49.156744,4.062434
"48",3,"Les Sabinettes",0.0642,3,NA,1,1.15,49.156744,4.062434
"49",3,"Les Beaunes  (Matu)",0.1971,3,NA,1,1.15,49.153973,4.079386
"50",3,"Les Noues",0.094,3,NA,1,1.15,49.156744,4.062434
"51",3,"LES SENTIERS",0.2724,3,NA,1,1.15,49.153973,4.079386
"52",4,"LES SENTIERS",0.2006,2,NA,1,1.15,49.153973,4.079386
"53",4,"LES GAROLES",1.1377,1,NA,1,1.15,49.156744,4.062434
"54",4,"LES HAIES DU PRE",0.0719,2,NA,1,1.15,49.156744,4.062434
"55",4,"LES BEAUX REGARDS                  ",0.0671,1,NA,1,1.15,49.153973,4.079386
"56",4,"LE NOYER L'HERBIER                 ",0.1457,1,NA,1,1.15,49.153973,4.079386
"57",4,"LES PECHERINES                     ",0.00369,1,NA,1,1.15,49.156744,4.062434
"58",4,"DERRIERE LES MAISONS               ",0.368,1,NA,1,1.15,49.156744,4.062434
"59",4,"LES BARBES                         ",0.87,1,NA,1,1.15,49.192788,4.045117
"60",4,"AMI LES CHAMPS                     ",0.0778,1,NA,1,1.15,49.156744,4.062434
"61",4,"LES BEAUNES                        ",0.1699,1,NA,1,1.15,49.153973,4.079386
"62",4,"PLATE PIERRE",0.5127,1,NA,1,1.15,49.234043,3.792313
"63",4,"AMI LES CHAMPS                     ",0.01045,2,NA,1,1.15,49.156744,4.062434
"64",4,"LE HAUT BELAI                      ",0.0524,2,NA,1,1.15,49.153973,4.079386
"65",4,"LES CARRIERES                      ",0.0117,2,NA,1,1.15,49.156744,4.062434
"66",4,"LES BEAUNES                        ",0.058,2,NA,1,1.15,49.153973,4.079386
"67",4,"LES COUTURES D'EN BAS              ",0.0594,3,NA,1,1.15,49.153973,4.079386
"68",4,"LES VOIES DE CHIGNY                ",0.058,3,NA,1,1.15,49.164237,4.048227
"69",4,"LES NOUES                          ",0.0863,3,NA,1,1.15,49.153973,4.079386
"70",4,"LES BEAUNES                        ",0.0822,3,NA,1,1.15,49.153973,4.079386
"71",4,"LES PETITES CRIERES                ",0.099,3,NA,1,1.15,49.153973,4.079386
"72",4,"LES BEAUNES                        ",0.1914,3,NA,1,1.15,49.153973,4.079386
"73",4,"BROUILLET Meunier",0.3,1,NA,1,1.15,49.2261584,3.8197782
"74",5,"BROUILLET Pinot",0.2761,3,NA,1,1.15,49.2261584,3.8197782
"75",5,"GD MÈRE",0.1527,3,NA,1,1.15,49.2261584,3.8197782
"76",5,"GD MÈRE MARCEL",0.1421,3,NA,1,1.15,49.2261584,3.8197782
"77",5,"WALIN PLT1",0.7033,1,NA,1,1.15,49.2261584,3.8197782
"78",5,"WALIN PINOT",0.3,3,NA,1,1.15,49.2261584,3.8197782
"79",5,"WALIN ht vielle",0.3,1,NA,1,1.15,49.2261584,3.8197782
"80",5,"WALIN GD",1.07,1,NA,1,1.15,49.2261584,3.8197782
"81",5,"QUAI PLANTES",0.35,1,NA,1,1.15,49.2261584,3.8197782
"82",5,"BAS RUISSEAU2009",0.32,1,NA,1,1.15,49.2261584,3.8197782
"83",5,"RUISSEAU MEUNIER2007",0.3,1,NA,1,1.15,49.2261584,3.8197782
"84",5,"RUISSEAU  MEUNIER2002",0.275,1,NA,1,1.15,49.2261584,3.8197782
"85",5,"RUISSEAU  PINOT",8e-04,3,NA,1,1.15,49.2261584,3.8197782
"86",5,"RUISSEAU CHARD",0.0248,2,NA,1,1.15,49.2261584,3.8197782
"87",5,"RUISSEAU FOND",0.38,1,NA,1,1.15,49.2261584,3.8197782
"88",6,"COUTURES 1985",0.5473,1,NA,1,1.15,49.156744,4.062434
"89",6,"COUTURES PETITES 1987",0.1654,1,NA,1,1.15,49.156744,4.062434
"90",6,"DESSOUS LE MONT 1968",0.1164,1,NA,1,1.15,49.156744,4.062434
"91",6,"MOULINS plt 1993",0.0694,1,NA,1,1.15,49.156744,4.062434
"92",6,"MOULINS vx 1967",0.128,1,NA,1,1.15,49.156744,4.062434
"93",6,"NOUES GD 1972",0.2194,1,NA,1,1.15,49.156744,4.062434
"94",6,"BASSEIGNANTS 2013",0.1942,2,NA,1,1.15,49.156744,4.062434
"95",6,"BEAUX REGARDS B 1992",0.1059,2,NA,1,1.15,49.153973,4.079386
"96",6,"GROSSES PIERRES 2008",0.155,2,NA,1,1.15,49.153973,4.079386
"97",6,"HOCATS 2009",0.0815,2,NA,1,1.15,49.153973,4.079386
"98",6,"RUELLES 1997",0.0656,2,NA,1,1.15,49.156744,4.062434
"99",6,"TONNELLES Blancs 2011",0.22,2,NA,1,1.15,49.164237,4.048227
"100",6,"TONNELLES Blancs 2015",0.2015,2,NA,1,1.15,49.164237,4.048227
"101",6,"BEAUNES GD 1980",0.1215,3,NA,1,1.15,49.153973,4.079386
"102",6,"BEAUNES PT 1980",0.0795,3,NA,1,1.15,49.153973,4.079386
"103",6,"BEAUX REGARD N 1992",0.1,3,NA,1,1.15,49.153973,4.079386
"104",7,"HAUSSE CUISSE GD 1989",0.3995,3,NA,1,1.15,49.164237,4.048227
